Axe 1,Axe 2,Target
-11.384662,43.4043,1
6.717488,-34.511562,0
-9.679765,1.0147139,1
-7.53187,-41.026775,0
-14.043266,-12.273164,0
-13.905015,-20.984858,0
-22.253698,-5.099591,0
-18.533228,-6.9305573,0
19.84488,-14.5973,0
30.432209,3.187532,0
-12.165785,-12.464633,0
-15.921448,-18.322859,0
3.4459293,-29.24458,0
-9.368536,-12.3845,0
-19.454266,-19.104725,1
20.704056,-21.623743,0
1.8423479,-29.992582,0
-0.46065006,-15.146931,0
9.537094,16.85642,0
-14.047122,-30.887321,0
10.94593,-13.986988,0
-4.614969,60.70708,1
50.658337,-5.8992596,0
-14.397992,-29.72374,0
-16.127052,-36.358185,1
8.36586,7.178628,0
-20.946476,-29.190165,1
9.837979,40.192776,0
29.926258,5.6113544,0
5.3225765,17.75056,0
-14.246486,-16.077389,0
8.678659,-0.26693586,0
-12.091893,-16.851805,0
-8.214621,69.14789,1
-4.527079,-38.6542,1
0.2708721,-32.45531,0
-1.4239895,63.048626,1
-3.122031,63.790867,0
-2.0731943,-29.567173,0
-2.8016007,40.302696,0
-10.520389,1.707325,0
-16.577932,-8.314829,0
-19.26886,-18.914268,1
-6.0474753,41.98106,0
-11.662971,-22.79575,0
52.286575,0.33380383,1
12.011919,32.59397,0
-27.194675,-12.40307,0
2.5891597,44.41865,0
-18.130945,-13.122447,0
-19.464172,-15.789521,1
-25.469383,-22.185926,1
15.467992,39.888943,0
30.970291,0.270157,0
11.146544,43.13952,0
50.217403,-4.8576717,0
-1.7379906,24.258226,0
-12.33671,-8.791925,0
-19.585533,-7.3807154,0
19.877634,-22.572372,0
14.987509,-18.138174,0
-9.19962,-22.038721,0
53.492733,-1.8271753,0
3.8252103,33.08307,0
22.24898,7.850025,0
4.143488,13.741646,0
21.115202,-27.434156,0
0.6895493,-28.217482,0
-1.7565181,-37.647343,0
-4.3868017,-38.56527,1
-12.827895,40.69959,0
-26.936256,-10.905254,0
-13.414487,-36.030506,0
-4.221222,-28.769743,0
-18.91071,-12.243893,0
18.100576,-15.15872,0
6.172584,41.709896,0
56.141907,-11.058847,0
51.96191,-7.440281,0
-40.409863,10.63867,0
-20.963995,-12.970575,0
-13.694781,-35.89021,0
3.403596,37.466248,0
-1.257111,-20.799482,0
15.860721,-20.258814,0
26.97236,-24.250177,0
-7.7607126,67.61113,0
-21.009155,-7.3117824,0
26.542994,5.005696,0
-12.370378,36.54348,1
30.332535,9.101631,0
3.0521574,42.237137,0
-2.6544197,36.37618,0
30.571405,7.3579373,0
-7.619612,37.887806,0
57.932343,-5.115083,0
-12.151815,15.757967,0
-8.20164,27.595154,0
12.606743,18.243837,0
-1.3441536,-10.459365,0
-34.523006,16.592905,1
-13.3062525,-32.967598,0
-15.633846,-21.240417,1
-5.6350956,0.68408877,0
19.840939,-2.8410718,0
-28.206118,17.431484,0
57.559273,-7.6930656,0
6.6370163,49.159035,1
-6.0361533,-33.098827,0
-13.606065,-16.961058,0
28.764866,10.186867,0
-20.968126,-25.711996,1
-28.071527,17.332684,0
-17.243904,-13.086872,0
-0.8655911,-28.703152,0
-9.193646,39.28972,0
8.00484,11.953422,0
-13.154748,32.681812,0
-18.530807,-6.5156217,0
12.338583,10.002808,0
5.4887304,-33.122578,0
10.762243,33.391354,0
-1.5360532,-42.455772,1
55.270893,-0.4704855,0
-0.5104642,27.93481,1
-4.2339005,0.12028338,0
32.25243,7.1262836,1
-2.0424626,64.72928,1
-28.483574,-20.282257,0
22.755638,-21.47096,0
-8.992342,-38.965755,0
4.5079203,44.771057,0
-0.6374255,30.4208,1
0.99907917,33.53673,0
-42.188263,9.158438,0
13.97778,-22.843803,0
21.665615,-27.784504,1
-4.3493605,29.103493,0
-1.6147349,32.23937,0
-32.537624,14.661733,0
-21.502237,-3.1072958,1
-9.907154,-35.296665,0
-30.101826,-31.636179,0
-11.635703,-30.921976,0
-1.2506878,43.15832,0
-29.436777,-26.106989,0
-13.768504,-16.007645,0
10.697637,10.659224,0
-20.96439,-8.196028,0
-13.363993,-15.921565,0
-3.3268712,-20.472944,0
11.251327,39.736282,0
-1.3463731,61.173798,0
-6.0772467,-16.203402,0
3.822445,44.515274,0
26.429743,-16.426668,0
15.585783,-20.081682,0
-26.083054,-7.50944,0
9.52699,37.756615,0
0.7092444,64.02161,0
-28.931293,-10.724838,0
2.389287,-20.601662,0
-5.560664,-34.217663,0
22.094662,1.7589992,0
1.8796809,-20.719723,0
6.3781767,12.469947,0
2.1112022,-27.240507,0
-4.4440827,30.05948,0
-12.536446,39.44487,0
-16.935371,-29.579578,0
-30.692724,-28.536757,0
-5.2435,70.36752,1
-13.116891,-21.035849,0
-3.4681854,-14.334824,0
0.8019928,33.0578,0
-0.060850386,-28.529226,0
-12.778223,-29.93274,0
-21.5575,-23.942902,1
13.87896,35.189976,0
-17.510572,-16.24929,0
-28.998331,-8.214581,0
-10.9887085,-34.808453,0
-2.172599,62.156364,1
-13.0962515,-10.734081,0
13.792116,-25.825361,0
-7.608941,-33.648666,0
